Date ID,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr),ADX,MACD,MACD_Sig,MACD_Hist,MOM,ATR,RSI,SlowD,SlowK,WILLR,Upper_Band,Middle_Band,Lower_Band,SMA,EMA,Actual Close Value,Label
39359,-1.449613128,-1.408449789,-1.4267661,-1.388461739,0.0345562882,-0.5197631761,-0.2779670416,-1.538242389,-1.453774379,-0.5329264929,-1.136687401,1.326231202,-0.7941669355,-0.4135507992,-1.091776642,-0.7073587823,-1.422238671,-1.442678653,-1.461364428,-1.301262052,-1.315118648,4714,1
6717,-1.370556936,-1.394133588,-1.388974189,-1.400907697,-0.4788483786,-1.030553691,-0.3637987913,-1.475525159,-1.476542862,-0.2781106895,-0.8648071159,1.165596333,-0.8753751794,0.4824988885,-0.3427034645,-0.8167730535,-1.407681459,-1.434834736,-1.460283275,-1.312027123,-1.320676028,4779,0
27942,-1.398755522,-1.379222184,-1.373324261,-1.36015267,-1.390196521,-1.656483116,-0.4751491773,-1.338524891,-1.465520927,0.1058945269,-0.06916446093,1.027376992,-0.532977197,0.9693735459,0.3736712918,-0.4584895456,-1.375956962,-1.413980478,-1.450389943,-1.320303947,-1.323197315,4750.5,1
35017,-1.35991596,-1.370920667,-1.369874377,-1.378022182,-1.141031014,-1.539190902,-0.596504307,-1.251486566,-1.438128851,0.2919300881,-0.3762796689,0.9121603907,-0.6627872507,1.021851784,0.8909347644,-0.4983881316,-1.412754752,-1.388047787,-1.361393418,-1.328750616,-1.326729941,4705.8,0
2375,-1.374938514,-1.398675927,-1.393709939,-1.406049101,-0.9158405067,-1.418998397,-0.6640947485,-1.223053775,-1.410147453,0.2986273318,-0.4112765182,0.7821961692,-0.8632192372,0.5979765794,0.9325484498,-0.4122072969,-1.415243304,-1.386457634,-1.355702761,-1.336451024,-1.331875988,4646.25,0
9450,-1.421915293,-1.432759136,-1.422939865,-1.443386976,-0.4071793469,-0.8550384099,-0.6747968665,-1.257791553,-1.395175596,0.1507827146,-0.6143534735,0.647655736,-1.115730367,-0.5126695387,0.3984775476,-0.8739164487,-1.402904531,-1.397469286,-1.390187158,-1.344607893,-1.339143081,4624.3,0
16525,-1.435185216,-1.439870246,-1.441851502,-1.457149635,-0.9793380067,-1.370287981,-0.6526597042,-1.298758191,-1.391940649,0.01740067805,-0.267718014,0.5767039344,-1.206187412,-1.31606608,-0.4440174619,-0.8788359394,-1.396420668,-1.408744916,-1.419311545,-1.351198992,-1.346845519,4636.75,0
26162,-1.447547527,-1.467750812,-1.454929699,-1.44934348,-1.076293724,-1.444365468,-0.6101298297,-1.304918583,-1.390667359,-0.004892212346,-0.02512080708,0.4245637735,-1.123615005,-1.563371751,-1.222883653,-0.7524225044,-1.428182521,-1.426626279,-1.423207981,-1.356911135,-1.35353817,4765.3,1
33237,-1.425264071,-1.388087578,-1.399888368,-1.368742576,-0.3961772914,-0.8992440371,-0.7589918985,-1.15137294,-1.356881117,0.3645954511,0.9150326473,0.5694138233,-0.3617760692,-0.464680113,-1.205590124,0.7238943111,-1.420169195,-1.424765863,-1.427538891,-1.357188197,-1.354503664,4749.65,1
595,-1.363202144,-1.381978914,-1.366612668,-1.378555132,-0.05188603252,-0.6553794394,-0.9097334927,-1.038854175,-1.305839908,0.5606864544,0.1312936825,0.4035702938,-0.4424033427,0.4366383038,-0.5739833769,0.5535558457,-1.405416403,-1.419253752,-1.431328688,-1.358519368,-1.356051541,4749.95,0
7670,-1.37944528,-1.383889829,-1.365797241,-1.378367032,0.1606315912,-0.5743427767,-1.04970783,-0.9415765932,-1.244247292,0.6805960608,-0.06106995158,0.2337073988,-0.4406657165,1.160729563,0.4076771845,0.7190636815,-1.391025625,-1.406218269,-1.419673361,-1.357595828,-1.357487196,4754.1,1
14745,-1.394999884,-1.374429233,-1.392957237,-1.375764981,0.1284502344,-0.8179139151,-1.121066168,-0.8529592893,-1.176061706,0.7555206832,0.05320547464,0.2889742087,-0.4149489275,0.9741438289,0.9261735823,0.7673105763,-1.392069014,-1.389901918,-1.38591689,-1.357645721,-1.358659277,4746.9,1
21820,-1.375314078,-1.396671033,-1.357705695,-1.380279384,-2.674562664,-2.654819891,-1.187327481,-0.7850771583,-1.107026763,0.7651730632,-0.2905730992,0.005844896488,-0.4598512813,0.6943241248,1.019033567,0.5167107869,-1.429699402,-1.376055646,-1.320310753,-1.356863366,-1.36005233,4742.8,0
35970,-1.380352893,-1.397109603,-1.387562873,-1.382850085,-0.3798977832,-1.079508022,-1.185240729,-0.7306797988,-1.040190068,0.7401914547,-0.1743930826,-0.08600708411,-0.4868878472,0.3174162361,0.7151361208,0.456279009,-1.435960949,-1.378883981,-1.319682114,-1.359166907,-1.361524401,4849.55,0
3328,-1.365142557,-1.336210929,-1.341898954,-1.31591779,0.5847768517,-0.4415315259,-1.285525242,-0.5610869052,-0.9505285182,0.9995804684,0.5467324716,0.01051484852,0.2003418197,0.5095214768,0.547704228,1.232508753,-1.37725161,-1.366326173,-1.35356218,-1.358223198,-1.358504136,4860.95,1
10403,-1.307994257,-1.322865849,-1.295890047,-1.308769986,0.7169949278,-0.3875159768,-1.350370039,-0.4118826223,-0.8469581426,1.157644851,0.8845592003,-0.1825158563,0.265355932,0.891675407,0.6188219833,1.130763669,-1.348057069,-1.352373053,-1.354957781,-1.357609628,-1.355209125,4831.25,1
17478,-1.321890119,-1.327878086,-1.319537433,-1.327391898,0.2534115212,-0.04167621165,-1.456785283,-0.327210897,-0.7460323614,1.127590826,0.8476577606,-0.2534367318,0.03855203634,1.167612751,0.9251998641,0.809122595,-1.340588682,-1.342675006,-1.343029624,-1.3598516,-1.35335013,4866,0
24553,-1.308745384,-1.309301484,-1.300531709,-1.305603634,1.106610925,-0.1003451853,-1.522534616,-0.220584137,-0.6425369129,1.156793355,0.9538386775,-0.3109032641,0.2538750012,1.018504547,1.108617641,0.9757727012,-1.332949421,-1.327703685,-1.320702788,-1.36376125,-1.35017961,4873.9,1
6061,-1.319981003,-1.320610343,-1.305016558,-1.30065033,-0.1491785784,-0.7938273935,-1.594773814,-0.1285830296,-0.540106937,1.14468498,0.379366587,-0.4147788022,0.3028410093,0.8913752483,1.108509475,1.055367434,-1.354650862,-1.311223918,-1.265839822,-1.367269638,-1.346888215,4967.3,1
13136,-1.282111647,-1.261246666,-1.256749545,-1.242088491,0.9651636733,-0.08006219987,-1.537153029,0.04838961063,-0.4203958777,1.341072784,0.8986055548,-0.336533647,0.8246072053,1.137708507,1.097733145,1.240077267,-1.300812026,-1.296422298,-1.290323047,-1.369292932,-1.339961732,4955.8,1
20211,-1.23626156,-1.258051366,-1.239782388,-1.249298996,0.7547615862,0.01676790364,-1.477604488,0.1703217819,-0.2986059353,1.364697883,0.8424201369,-0.453714335,0.72231786,1.162864772,1.149754976,1.108540855,-1.2798357,-1.284499293,-1.287521822,-1.369034978,-1.333955839,5018.4,0
27286,-1.225464099,-1.231016615,-1.201927752,-1.210048769,0.617328561,-0.2844889296,-1.371865686,0.3322231848,-0.1666232,1.480532068,1.120728415,-0.4954164431,1.03549612,1.359678545,1.318513339,1.258155081,-1.250286248,-1.26097383,-1.270086149,-1.365814267,-1.325758735,5048.6,1
34361,-1.194261002,-1.205736147,-1.193836206,-1.191113357,0.9302996309,0.2818568429,-1.230047059,0.4866551391,-0.02808025796,1.555084374,1.29880762,-0.5638645317,1.173959166,1.338599596,1.390906703,1.177688656,-1.225275222,-1.238020319,-1.249232003,-1.359784723,-1.316846445,5046.25,1
15869,-1.206466827,-1.208618183,-1.183141566,-1.192586808,-0.1902117892,-0.5513805468,-1.098358333,0.596364694,0.1061668072,1.506264644,1.307140204,-0.7063854108,1.150351747,1.37327619,1.466730825,1.158184853,-1.229857067,-1.216355271,-1.201194632,-1.354569379,-1.308605945,5127.35,0
22944,-1.181773503,-1.157556023,-1.165296257,-1.141737074,0.5909325997,0.3017053563,-0.8946087831,0.7649266923,0.2495366538,1.609938874,1.185008342,-0.632294551,1.5054974,1.327810317,1.45524675,1.212293622,-1.189357047,-1.19623638,-1.201602251,-1.346839249,-1.297556329,5158.3,1
30019,-1.127504526,-1.136817894,-1.114833863,-1.122331411,0.8969305082,0.2954588675,-0.6766388172,0.920501045,0.39743308,1.661380384,1.278095199,-0.7385616278,1.624849081,1.302370133,1.442191056,1.203063565,-1.166305667,-1.170781363,-1.173762596,-1.338093225,-1.285944665,5204.7,1
4452,-1.086661956,-1.109971102,-1.094667723,-1.093238591,0.8389656621,0.1906939321,-0.4393231377,1.081741559,0.5501599645,1.716275269,1.64044353,-0.7938364864,1.792905618,1.367265531,1.440025048,1.232896262,-1.132343183,-1.147362748,-1.160979958,-1.326350476,-1.273170781,5087.3,1
25677,-1.119961952,-1.141830131,-1.148423188,-1.16684844,0.2190628356,-0.4571382199,-0.3896035328,1.058834972,0.6674530618,1.313594285,0.9159849425,-0.5924119897,0.700131222,0.6482247351,1.195128736,0.4016932532,-1.136281269,-1.142498012,-1.147267213,-1.316282835,-1.266057089,5199.25,0
32752,-1.143935445,-1.110973549,-1.121169104,-1.096655743,0.8362449075,0.2647790418,-0.2957800658,1.153397301,0.7814677375,1.276337246,1.41141653,-0.4050102367,1.169851935,0.6248496912,0.950976621,1.172196447,-1.130512129,-1.123265332,-1.114517199,-1.302375607,-1.254790777,5235.7,1
